日付,休日区分,シフト開始,シフト終了,出勤時刻,退勤時刻,労働時間,シフト外労働時間,残業時間,深夜時間,休憩時間,勤怠状況,エラー
2026/02/01,公休,,,,,,,,,,,
2026/02/02,,09:00,18:00,09:00,18:30,8:30,0:00,0:30,0:00,1:00,出勤,
2026/02/03,,09:00,18:00,09:05,19:00,8:55,0:00,0:55,0:00,1:00,出勤,
2026/02/04,,09:00,18:00,08:55,18:15,8:20,0:00,0:20,0:00,1:00,出勤,
2026/02/05,,09:00,18:00,09:00,20:15,10:15,0:00,2:15,0:00,1:00,出勤,
2026/02/06,,09:00,18:00,09:10,18:30,8:20,0:00,0:20,0:00,1:00,出勤,
2026/02/07,公休,,,,,,,,,,,
2026/02/08,公休,,,,,,,,,,,
2026/02/09,,09:00,18:00,09:00,18:45,8:45,0:00,0:45,0:00,1:00,出勤,
2026/02/10,,09:00,18:00,09:00,18:00,8:00,0:00,0:00,0:00,1:00,出勤,
2026/02/11,祝日,,,,,,,,,,,
